StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q1.3,Q1.4,Q1.5,Q1.6,Q1.7,Q1.8,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.3_1,Q2.3_4,Q2.3_5,Q2.3_6,Q2.3_7,Q2.3_8,Q2.3_9,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.2_7,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.5_5,Q3.6_1,Q3.6_2,Q3.6_3,Q3.6_4,Q3.6_5,Q3.7_1,Q3.7_2,Q3.7_3,Q3.7_4,Q3.7_5,Q3.8,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.3_1,Q4.3_2,Q4.3_3,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.4_6,Q4.4_7,Q4.4_8,Q4.4_9,Q4.4_10,Q4.4_11,Q4.4_12,Q4.4_13,Q4.4_14,Q4.5_1,Q4.5_2,Q4.5_3,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.6_6,Q4.6_7,Q4.6_8,Q4.7,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.2_5,Q5.2_6,Q5.2_7,Q5.2_8,Q5.2_9,Q5.3,Q5.4,Q5.5,Q5.6
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,What is your gender?,What is your race/ethnicity?,How many years have you been teaching for Augustin College?,What Augustin College programs do you teach in?,Which undergraduate programs do you currently teach in?,Which graduate programs do you currently teach in?,"How important are the following aspects for promoting Augustin College to future students?* - Flexible learning Options (e.g., online, evening, hybrid)",How important are the following aspects for promoting Augustin College to future students?* - Career-focused programs aligned with workforce needs,How important are the following aspects for promoting Augustin College to future students?* - Competitive tuition and robust financial aid support,How important are the following aspects for promoting Augustin College to future students?* - Mission-driven education rooted in purpose and service,How important are the following aspects for promoting Augustin College to future students?* - Personalized support and a student-centered community,How important are the following aspects for promoting Augustin College to future students?* - Accelerated or modular degree completion pathways,How important are the following aspects for promoting Augustin College to future students?* - Strong Veritus Imperial University reputation and alumni network,How important are the following aspects for promoting Augustin College to future students?* - Strong faculty with industry experience,What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Working professionals seeking to advance in their current field,What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Adult learners returning to college after time away,What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Recent high school graduates looking for flexible pathways,What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Career changers pursuing graduate credentials,What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - First-generation college students,What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Students from underrepresented or historically marginalized backgrounds,What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - International students,Which do you believe are most important to emphasize in order to positively influence prospective students to apply to Augustin College? Please rank the following factors by dragging the selection up or down in your preferred rank order where number 1 is the most important factor to emphasize and 4 is the lowest thing to emphasize. - Veritus Imperial University's overall academic reputation,Which do you believe are most important to emphasize in order to positively influence prospective students to apply to Augustin College? Please rank the following factors by dragging the selection up or down in your preferred rank order where number 1 is the most important factor to emphasize and 4 is the lowest thing to emphasize. - Augustin College's unique identity and reputation,Which do you believe are most important to emphasize in order to positively influence prospective students to apply to Augustin College? Please rank the following factors by dragging the selection up or down in your preferred rank order where number 1 is the most important factor to emphasize and 4 is the lowest thing to emphasize. - Reputation and credibility of individual programs,Which do you believe are most important to emphasize in order to positively influence prospective students to apply to Augustin College? Please rank the following factors by dragging the selection up or down in your preferred rank order where number 1 is the most important factor to emphasize and 4 is the lowest thing to emphasize. - Academic rigor and challenge of the curriculum,How important are the following aspects to the future learning experience at Augustin College? - Small class sizes and individualized attention,"How important are the following aspects to the future learning experience at Augustin College? - Experiential learning opportunities (e.g., internships, client projects)",How important are the following aspects to the future learning experience at Augustin College? - Courses that develop leadership and communication skills,How important are the following aspects to the future learning experience at Augustin College? - In-person learning opportunities,How important are the following aspects to the future learning experience at Augustin College? - Daytime course offerings,How important are the following aspects to the future learning experience at Augustin College? - Online synchronous learning opportunities (live online classes),"How important are the following aspects to the future learning experience at Augustin College? - Online asynchronous learning opportunities (flexible, self-paced online classes)",How important are the following aspects of faculty mentoring to the academic experience at Augustin College? - Access to a faculty mentor outside of class,How important are the following aspects of faculty mentoring to the academic experience at Augustin College? - Structured mentorship programs,How important are the following aspects of faculty mentoring to the academic experience at Augustin College? - Faculty support for career and professional development,How important are the following aspects of faculty mentoring to the academic experience at Augustin College? - Access to faculty research opportunities outside of class,How important are the following opportunities for ensuring academic accessibility and inclusion at Augustin College? - Access for students with disabilities,How important are the following opportunities for ensuring academic accessibility and inclusion at Augustin College? - Faculty trained in universal course design,How important are the following opportunities for ensuring academic accessibility and inclusion at Augustin College? - Clear and simple process for requesting academic accommodations,How important are the following opportunities for ensuring academic accessibility and inclusion at Augustin College? - Ease of access to university technology systems,"How important are the following initiatives for building academic community at Augustin College? - Events that bring students and faculty together (e.g. speaker series, brown bag lunches, etc.)",How important are the following initiatives for building academic community at Augustin College? - Peer mentoring,How important are the following initiatives for building academic community at Augustin College? - Study groups,How important are the following initiatives for building academic community at Augustin College? - Increased opportunities to connect online and in-person students,How important are the following initiatives for building academic community at Augustin College? - On campus housing options,"As Augustin College expands its academic offerings, how important are the following priorities? - Career-focused courses aligned with industry needs (action research project & internships)","As Augustin College expands its academic offerings, how important are the following priorities? - Research-focused courses aligned with industry trends","As Augustin College expands its academic offerings, how important are the following priorities? - Courses in high-demand fields (eg., technology, public health, business ethics)","As Augustin College expands its academic offerings, how important are the following priorities? - Flexibility to take courses across other Veritus Imperial University programs","As Augustin College expands its academic offerings, how important are the following priorities? - Active engagement in the classroom/Zoom class meetings",How important are the following features for ensuring academic excellence at Augustin College? - High academic standards,How important are the following features for ensuring academic excellence at Augustin College? - Strong support systems,"How important are the following features for ensuring academic excellence at Augustin College? - Advanced, challenge-based assignments",How important are the following features for ensuring academic excellence at Augustin College? - Transparent grading,How important are the following features for ensuring academic excellence at Augustin College? - Clear and timely feedback,What is one improvement or innovation you would recommend to strengthen the academic experience at Augustin College?,How important do you believe each of the following initiatives is for enhancing students' non-academic and co-curricular engagement at Augustin College? - More events and opportunities that foster a sense of community,How important do you believe each of the following initiatives is for enhancing students' non-academic and co-curricular engagement at Augustin College? - Additional leadership and volunteer opportunities within Augustin College,How important do you believe each of the following initiatives is for enhancing students' non-academic and co-curricular engagement at Augustin College? - More spaces (common areas for eating or studying) to support personal development beyond coursework,How important do you believe each of the following initiatives is for enhancing students' non-academic and co-curricular engagement at Augustin College? - More community service opportunties,"How important are the following strategies for improving students' access to university-wide services? - Better visibility and accessibility of university services (e.g., Career Center, Library)",How important are the following strategies for improving students' access to university-wide services? - Closer integration of Veritus Imperial University services into the Augustin College student experience,How important are the following strategies for improving students' access to university-wide services? - Stronger collaboration between Augustin College and other Veritus Imperial University departments,How important is a closer integration of Veritus Imperial University services within Augustin College? -  Faith Ministry,How important is a closer integration of Veritus Imperial University services within Augustin College? - Career Center,How important is a closer integration of Veritus Imperial University services within Augustin College? - The Tutoring and Exam Center,How important is a closer integration of Veritus Imperial University services within Augustin College? - Dining Hall,How important is a closer integration of Veritus Imperial University services within Augustin College? - Veritus Imperial University Accessibility Services,How important is a closer integration of Veritus Imperial University services within Augustin College? - Financial Aid,How important is a closer integration of Veritus Imperial University services within Augustin College? - IT Help Desk,How important is a closer integration of Veritus Imperial University services within Augustin College? - Veritus Imperial University Libraries,How important is a closer integration of Veritus Imperial University services within Augustin College? -  Gym & Recreation Center,How important is a closer integration of Veritus Imperial University services within Augustin College? - Veteran Support,How important is a closer integration of Veritus Imperial University services within Augustin College? -  Student Wellness Center,How important is a closer integration of Veritus Imperial University services within Augustin College? - Undergrad Student Life Office,How important is a closer integration of Veritus Imperial University services within Augustin College? - Graduate Student Life Office,How important is a closer integration of Veritus Imperial University services within Augustin College? - International Students Office,How important are the following enhancements to Augustin College student services? - Increased outreach from advising,How important are the following enhancements to Augustin College student services? - More streamlined and timely communication from Augustin College offices,How important are the following enhancements to Augustin College student services? - Expanded personalized career guidance tailored to student goals,How important are the following priorities for preparing students for life after Augustin College? - Opportunities for career networking,How important are the following priorities for preparing students for life after Augustin College? - Internal/External Career Mentoring,How important are the following priorities for preparing students for life after Augustin College? - Career advising,How important are the following priorities for preparing students for life after Augustin College? - Opportunities to develop leadership skills,How important are the following priorities for preparing students for life after Augustin College? - Opportunities for personal skill development,How important are the following priorities for preparing students for life after Augustin College? - Enhanced career preparation through internships,How important are the following priorities for preparing students for life after Augustin College? - Networking,How important are the following priorities for preparing students for life after Augustin College? - Clearer alignment between academic programs and professional goals,What is one improvement or new initiative you would recommend to enhance the student experience at Augustin College?,"How important should each of the following ideas be in shaping the future mission of Augustin College? - Upholding values such as service, justice, and reflection",How important should each of the following ideas be in shaping the future mission of Augustin College? - Expanding flexible pathways for adult and nontraditional learners,How important should each of the following ideas be in shaping the future mission of Augustin College? - Preparing students to be ethical leaders in a complex world,"How important should each of the following ideas be in shaping the future mission of Augustin College? - Promoting diversity, inclusion, and equity across the student experience",How important should each of the following ideas be in shaping the future mission of Augustin College? - Focusing on real-world impact and professional advancement,How important should each of the following ideas be in shaping the future mission of Augustin College? - Supporting lifelong learning and career reinvention,How important should each of the following ideas be in shaping the future mission of Augustin College? - Fostering a strong sense of community and personal connection,"How important should each of the following ideas be in shaping the future mission of Augustin College? - Developing student's ability to lead, serve, and transform society",How important should each of the following ideas be in shaping the future mission of Augustin College? - Aligning with the evolving challenges and opportunities of the future workforce,Are there any other ideas or priorities you believe Augustin College should incorporate into its future mission?,How can Augustin College support you better in your teaching in the future?,How can Augustin College cultivate a stronger sense of community among the faculty in the future?,"In the future, how can Augustin College cultivate a stronger sense of community and shared identify among faculty, staff, and students?"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID44""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_7""}","{""ImportId"":""QID21_8""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_5""}","{""ImportId"":""QID45_6""}","{""ImportId"":""QID45_7""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID25_4""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID27_5""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID34_7""}","{""ImportId"":""QID34_8""}","{""ImportId"":""QID34_9""}","{""ImportId"":""QID34_10""}","{""ImportId"":""QID34_11""}","{""ImportId"":""QID34_12""}","{""ImportId"":""QID34_13""}","{""ImportId"":""QID34_14""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_7""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID39_6""}","{""ImportId"":""QID39_7""}","{""ImportId"":""QID39_8""}","{""ImportId"":""QID39_9""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}"
5/8/2025 15:03,5/8/2025 15:14,100,663,TRUE,5/8/2025 15:14,Female,Asian,1,Undergraduate Programs,Undergrad Program 1,,Very important,Extremely important,Very important,Moderately Important,Very important,Very important,Very important,Extremely important,4,1,2,3,6,5,7,4,3,2,1,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Very important,Extremely important,Slightly important,Very important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Very important,Moderately important,Very important,Moderately important,Very important,Slightly important,Extremely important,Extremely important,Extremely important,Moderately important,Very important,Extremely important,Extremely important,Very important,Very important,Very important,Have more AI/ML focused courses and use AI/ML tech to accelerate student learning.,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Have more collaborative activities for students to build sense of Veritus Imperial University community and belonging ,Not at all important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Importance of environmental sustainability and tech-for-good.,Better career advancement,Organize more team building events,Organize more team building events
5/8/2025 15:07,5/8/2025 15:14,100,418,TRUE,5/8/2025 15:14,Female,White,4,Graduate Programs,,Graduate Program 1,Very important,Extremely important,Extremely important,Moderately Important,Very important,Very important,Moderately Important,Extremely important,2,1,6,5,3,4,7,4,1,2,3,Very important,Extremely important,Very important,Very important,Moderately important,Very important,Moderately important,Very important,Very important,Extremely important,Moderately important,Very important,Moderately important,Very important,Extremely important,Moderately important,Very important,Very important,Extremely important,Moderately important,Extremely important,Moderately important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Moderately important,Extremely important,,Very important,Extremely important,Moderately important,Moderately important,Very important,Extremely important,Extremely important,Moderately important,Extremely important,Very important,Slightly important,Moderately important,Extremely important,Extremely important,Very important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,,Moderately important,Very important,Extremely important,Moderately important,Very important,Very important,Very important,Very important,Extremely important,,,,
5/8/2025 15:08,5/8/2025 15:20,100,721,TRUE,5/8/2025 15:20,Male,White,8,Undergraduate Programs,Undergrad Program 2,,Very important,Very important,Extremely important,Moderately Important,Moderately Important,Very important,Very important,Very important,2,1,3,4,5,7,6,,,,,Moderately important,Slightly important,Very important,Very important,Not Important,Moderately important,Very important,Slightly important,Moderately important,Moderately important,Slightly important,Slightly important,Not at all important,Very important,Slightly important,Moderately important,Slightly important,Moderately important,Slightly important,Not at all important,Extremely important,Slightly important,Extremely important,Very important,Moderately important,Slightly important,Moderately important,Moderately important,Very important,Very important,,,Very important,Moderately important,Moderately important,Slightly important,Slightly important,Slightly important,Slightly important,Very important,Moderately important,Slightly important,Slightly important,Very important,Moderately important,Slightly important,Moderately important,Very important,Moderately important,Slightly important,Slightly important,Slightly important,Moderately important,Slightly important,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Very important,,Extremely important,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Slightly important,Very important,,,,
5/8/2025 15:13,5/8/2025 15:20,100,428,TRUE,5/8/2025 15:21,Female,"American Indian or Alaska Native,White",8,"Undergraduate Programs,Graduate Programs","Undergrad Programs 2, 8, 9, 11",,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Extremely important,Very important,1,3,4,2,5,6,7,1,3,2,4,Moderately important,Extremely important,Extremely important,Moderately important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important,Moderately important,Moderately important,,Very important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Slightly important,Slightly important,Very important,Very important,Very important,Very important,Slightly important,Extremely important,Slightly important,Extremely important,Slightly important,Slightly important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,,Moderately important,Extremely important,Moderately important,Moderately important,Extremely important,Extremely important,Very important,Very important,Extremely important,,,,
5/8/2025 15:17,5/8/2025 15:22,100,305,TRUE,5/8/2025 15:22,Male,White,3,Graduate Programs,,Graduate Program 4,Very important,Extremely important,Very important,Extremely important,Extremely important,Moderately Important,Extremely important,Extremely important,1,3,5,2,6,4,7,1,3,2,4,Moderately important,Very important,Very important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Extremely important,Moderately important,Very important,Slightly important,Slightly important,Very important,Moderately important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,Very important,More engagement with the students ,Extremely important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Slightly important,Not at all important,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Very important,Very important,Moderately important,Very important,Moderately important,Very important,Extremely important,Very important,Very important,Extremely important,Very important,More peer mentorship ,Very important,,Moderately important,Slightly important,Very important,Very important,Very important,Very important,Very important,No,All is good right now. ,,
5/8/2025 15:15,5/8/2025 15:22,100,431,TRUE,5/8/2025 15:22,Male,White,7,Graduate Programs,,Graduate Program 4,Very important,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,1,5,2,6,4,3,7,1,3,2,4,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,Extremely important,Very important,Very important,Very important,,Very important,Very important,Moderately important,Moderately important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Very important,Moderately important,Very important,Extremely important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Extremely important,Extremely important,,Very important,Very important,Moderately important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,,,,
5/8/2025 15:29,5/8/2025 15:37,100,447,TRUE,5/8/2025 15:37,Male,White,3,Undergraduate Programs,,,Extremely important,Extremely important,Extremely important,Moderately Important,Extremely important,Moderately Important,Extremely important,Extremely important,5,4,1,6,3,2,7,2,1,3,4,Extremely important,Extremely important,Extremely important,Moderately important,Not Important,Not Important,Extremely important,Slightly important,Slightly important,Moderately important,Slightly important,Extremely important,Moderately important,Extremely important,Extremely important,Very important,Very important,Slightly important,Slightly important,Moderately important,Extremely important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Moderately important,Slightly important,Very important,Very important,Very important,Slightly important,Extremely important,Extremely important,Slightly important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,,Slightly important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,,,,
5/8/2025 15:25,5/8/2025 15:37,100,723,TRUE,5/8/2025 15:37,Male,Asian,2,Undergraduate Programs,Undergrad Program 3,,Extremely important,Extremely important,Extremely important,Moderately Important,Extremely important,Very important,Extremely important,Extremely important,6,4,5,7,2,1,3,1,4,3,2,Extremely important,Slightly important,Extremely important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Moderately important,Slightly important,Slightly important,Moderately important,Moderately important,Very important,Moderately important,Extremely important,Very important,Extremely important,Moderately important,Extremely important,Moderately important,Very important,Very important,It seems to me that promotion and advertising that you get a regular Veritus Imperial University degree and diploma.,Moderately important,Moderately important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Slightly important,Extremely important,Slightly important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Very important,Moderately important,Moderately important,Moderately important,Extremely important,Not at all important,Extremely important,Very important,Very important,Extremely important,Moderately important,Extremely important,Moderately important,Very important,Moderately important,I seriously don't have a particular suggestion.,Not at all important,Very important,Extremely important,Extremely important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,,You do an excellent job of supporting me.,,
